Year,Corps of Engineers,Department of Agriculture,Department of Commerce,Department of Defense,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of Justice,Department of Labor,Department of State,Department of the Interior,Department of the Treasury,Department of Transportation,Department of Veterans Affairs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,Judicial Branch,Legislative Branch,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Other Defense Civil Programs,Other Independent Agencies (Off-Budget),Other Independent Agencies (On-Budget),Small Business Administration,Social Security Administration (Off-Budget),Social Security Administration (On-Budget),Undistributed Offsetting Receipts
1976,2177,20690,1732,95503,9314,4970,40368,2423,29200,2066,22933,1251,2733,45880,9977,19653,772,70,251,10907,346,936,3552,717,8870,7390,,17692,621,74019,6044,-22186
1977,2479,21841,7814,107906,10568,7021,47035,2881,33818,2204,31194,1530,3741,49491,8456,19043,2764,79,312,5334,431,1057,3876,783,10255,8273,,8692,1068,84909,6612,-23018
1978,2781,26659,1892,114531,11625,10467,51891,3314,37994,2212,16826,1798,4639,56370,12611,19013,5499,79,137,8737,459,1087,4244,868,11631,9213,,8981,3555,93712,5991,-24250
1979,2780,37250,2086,123595,13996,9805,59726,3969,31142,2317,24715,2075,4766,63622,16370,20471,5403,83,333,7272,521,1131,4743,914,13314,10319,,10957,2081,104233,6266,-27428
1980,3247,39559,2610,140651,15209,10767,70002,4424,35852,2261,29846,2411,4674,89463,18245,21177,4669,102,716,12678,609,1318,5350,991,15711,12020,,28922,2145,119278,7144,-31988
1981,3089,47410,2072,176100,16752,11241,80788,3971,34220,2096,30999,2583,4403,91193,23486,23136,3026,104,1121,16514,656,1251,5634,1031,18595,13898,,17122,1355,140404,7899,-41852
1982,2988,57400,1834,211486,15374,12485,86307,4563,20911,2310,32084,2774,3805,110329,21214,24948,3674,94,623,11031,733,1414,6200,1006,20810,15043,,11647,748,156238,8613,-42165
1983,3406,69831,1923,238834,15267,11892,91478,4981,16561,2679,38286,2952,4952,116212,23855,25324,3688,102,812,6589,823,1687,7065,1104,22302,16218,200,9183,1278,150984,30451,-51078
1984,2674,46734,2015,258108,15336,10952,103715,5231,18148,3096,32013,3193,4906,140445,25821,26464,4064,110,641,18945,904,1768,7458,1323,23530,16587,919,10100,971,171710,17831,-52329
1985,2883,61823,2309,286789,18952,12617,113981,5056,31398,3412,23873,3802,4995,164826,26234,27288,4346,117,738,20362,1055,1703,7573,1502,24616,17270,1430,10091,1254,184648,19968,-58656
1986,2722,59154,1980,281398,17750,10558,123589,5139,15928,3446,24589,4311,4574,178401,25775,27062,3446,109,779,10707,1045,1720,7807,1458,26294,17519,1788,11495,714,191782,15931,-65036
1987,3121,52421,2155,279417,19475,10124,133443,5927,14657,4508,23958,4034,5265,180053,23535,27343,5344,119,579,13002,1273,1873,10923,1623,27299,18034,2294,12993,604,203461,16412,-72262
1988,3226,55134,2449,283710,20098,11162,142396,6152,14949,4818,23070,4160,5237,202112,24639,29414,4968,126,244,11655,1344,2123,9061,1717,30164,19121,941,20873,418,216285,18330,-78789
1989,3215,55627,2807,290785,22819,11696,155160,7110,14347,5814,25859,4461,5463,228870,25483,29866,5081,131,33,10951,1481,2250,10969,1922,32163,20354,1610,61160,421,228432,18628,-89074
1990,3165,55214,3683,292936,24549,13983,184673,7292,17315,7891,27377,4728,6669,257597,26971,30438,5380,179,2871,12408,1752,2248,12324,2084,35224,21802,3083,56032,928,246875,17425,-98930
1991,3281,59957,2648,275676,27360,16102,201473,6574,27634,8371,36235,5272,6856,276501,27545,33129,6004,185,1902,15727,2118,2493,14016,2316,36782,23399,3301,83643,464,268531,20576,-110005
1992,3667,66170,3022,281827,28685,17197,251439,11158,24966,9326,48887,6171,7077,293647,32761,33907,6461,202,304,13436,2445,2632,14317,2573,35765,24795,2198,50221,1891,283365,23986,-117111
1993,3852,67730,3159,267334,31324,17712,257702,9091,26468,9841,47692,6561,6857,298457,36399,35993,6737,237,537,24658,2613,2621,14310,2734,39345,26079,2239,16415,1177,300089,28081,-119711
1994,3925,65458,3811,251294,26881,17159,307700,12476,26322,9519,39003,7050,7453,307256,38662,36804,6436,237,546,9543,2832,2612,14570,3018,40380,27050,2732,32061,2058,315450,32376,-123469
1995,3344,58437,4025,255658,32245,15019,301969,11442,19800,11985,32924,6141,7512,351708,34382,38028,5710,184,81,14906,2998,2682,13854,3227,42923,28072,2554,14324,792,327808,32551,-137632
1996,3336,58592,3612,254525,29097,14128,318434,11667,20821,13964,34099,5852,7202,363815,32012,38690,6268,204,77,10178,3174,2454,13886,3219,43814,29094,3441,12500,1089,346315,30349,-134997
1997,4157,60727,3758,257943,33519,14073,353652,13189,16091,15797,32860,5984,7404,377894,36382,39877,6478,217,374,8412,3386,2541,13711,3271,44847,30346,3725,12726,838,359155,34413,-154969
